Material,Value
Li4Ti5O12,0.000183
Li4Ti5O12,1.7
Li4Ti5O12,2.9
Li4Ti5O12,0.00064
Li4Ti5O12,1.749
Li4Ti5O12,6.10E-05
Li4Ti5O12,1.8
Li4Ti5O12,0.92
Li4Ti5O12,4
Li4Ti5O12,0.000113
Li4Ti5O12,0.46
Li4Ti5O12,1.788
Li4Ti5O12,0.31
Li4Ti5O12,4.3
Li4Ti5O12,0.000195
Li4Ti5O12,1.37
Li4Ti5O12,0.09
Li4Ti5O12,1.86
Li4Ti5O12,1.47
Li4Ti5O12,0.5
Li4Ti5O12,0.000137
Li4Ti5O12,0.7
Li4Ti5O12,1.545
Li4Ti5O12,1.5
Li4Ti5O12,0.067
Li4Ti5O12,0.04
Li4Ti5O12,1.58
Li4Ti5O12,3.66
Li4Ti5O12,0.36
Li4Ti5O12,1.571
Li4Ti5O12,1.54
Li4Ti5O12,1.1
Li4Ti5O12,1.388
Li4Ti5O12,0.121
Li4Ti5O12,7.40E-05
Li4Ti5O12,1.663
Li4Ti5O12,0.26
Li4Ti5O12,1.635
Li4Ti5O12,2.1
Li4Ti5O12,1.71
Li4Ti5O12 ,4.5
Li4Ti5O12 ,2.8
Li4Ti5O12 ,0.000211
Li4Ti5O12 ,0.338
Li4Ti5O12 ,0.000221
Li4Ti5O12 ,2.5
Li4Ti5O12 ,2.6
Li4Ti5O12 ,1
Li4Ti5O12 ,2.1
Li4Ti5O12 ,4.2
Li4Ti5O12 ,0.000184
Li4Ti5O12 ,0.03
Li4Ti5O12 ,0.000193
Li4Ti5O12 ,1.09
Li4Ti5O12 ,0.8
Li4Ti5O12 ,0.263
Li4Ti5O12 ,1.5
Li4Ti5O12 ,1.9
Li4Ti5O12 ,0.66
Li4Ti5O12 ,2.2
Li4Ti5O12 ,0.7
Li4Ti5O12 ,0.6
Li4Ti5O12 ,0.12
Li4Ti5O12 ,0.62
Li4Ti5O12 ,1.55
Li4Ti5O12 ,0.06
Li4Ti5O12 ,1.66
Li4Ti5O12 ,2
Li4Ti5O12 ,0.000155
Li4Ti5O12 ,0.45
Li4Ti5O12 ,0.000182
Li4Ti5O12 / Ag ,1.5
Li4Ti5O12 / Ag ,1.45
Li4Ti5O12 / Ag ,0.65
Li4Ti5O12 / a-GNPs ,0.155
Li4Ti5O12 / a-GNPs ,0.113
Li4Ti5O12 / a-GNPs ,0.267
Li4Ti5O12 / C,5.00E-05
Li4Ti5O12 / C,0.000226
Li4Ti5O12 / C,1
Li4Ti5O12 / C,2
Li4Ti5O12 / C,1.54
Li4Ti5O12 / C,2.5
Li4Ti5O12 / C ,1.1
Li4Ti5O12 / C ,3
Li4Ti5O12 / C ,6.00E-05
Li4Ti5O12 / C ,0.000118
Li4Ti5O12 / C ,1
Li4Ti5O12 / C ,1.5
Li4Ti5O12 / C ,0.7
Li4Ti5O12 / C ,0.22
Li4Ti5O12 / C ,1.684
Li4Ti5O12 / C ,9.20E-05
Li4Ti5O12 / C ,1.464
Li4Ti5O12 / C ,5.70E-05
Li4Ti5O12 / C ,1.45
Li4Ti5O12 / C ,0.000501
Li4Ti5O12 / C-1,6.00E-05
Li4Ti5O12 / CNT,1.55
Li4Ti5O12 / CNTs,2.5
Li4Ti5O12 / Cu ,0.5
Li4Ti5O12 / Cu ,2.3
Li4Ti5O12 / Fe3O4,1.5
Li4Ti5O12 / g-C3N4 ,0.199
Li4Ti5O12 / g-C3N4 ,1.486
Li4Ti5O12 / g-C3N4 ,1.685
Li4Ti5O12 / graphene,1
Li4Ti5O12 / graphene,2
Li4Ti5O12 / graphene ,1
Li4Ti5O12 / Li,2.6
Li4Ti5O12 / Li,1.63
Li4Ti5O12 / Li,2.3
Li4Ti5O12 / Li,1.55
Li4Ti5O12 / Li,4
Li4Ti5O12 / Li,1
Li4Ti5O12 / Li,1.57
Li4Ti5O12 / Li,1.71
Li4Ti5O12 / Li,2
Li4Ti5O12 / Li1.2Mn0.524Ni0.176Co0.1O2cell,0.5
Li4Ti5O12 / Li2RuO3,2
Li4Ti5O12 / Li2TiO3 ,1.45
Li4Ti5O12 / Li2TiO3 ,1.42
Li4Ti5O12 / Li2TiO3 ,1.46
Li4Ti5O12 / Li3SbO4 / C,0.05
Li4Ti5O12 / Li3SbO4 / C,1.1
Li4Ti5O12 / Li3SbO4 / C,2
Li4Ti5O12 / Li3SbO4 / C,0.4
Li4Ti5O12 / Li3SbO4 / C,2.7
Li4Ti5O12 / Li3SbO4 / C,0.6
Li4Ti5O12 / Li3SbO4 / C ,0.4
Li4Ti5O12 / Li3SbO4 / C ,0.75
Li4Ti5O12 / Li3SbO4 / C ,1.52
Li4Ti5O12 / Li7Ti5O12,2.5
Li4Ti5O12 / Li7Ti5O12,1.4
Li4Ti5O12 / Li7Ti5O12,2.2
Li4Ti5O12 / Li7Ti5O12,1.55
Li4Ti5O12 / Li7Ti5O12,1.5
Li4Ti5O12 / Li7Ti5O12,1.7
Li4Ti5O12 / Li7Ti5O12,1.47
Li4Ti5O12 / Li7Ti5O12,1.56
Li4Ti5O12 / Li7Ti5O12,1
Li4Ti5O12 / LiCoMnO4,3.5
Li4Ti5O12 / LiCoO2,2
Li4Ti5O12 / LiCoO2,2.4
Li4Ti5O12 / LiCoO2,2.5
Li4Ti5O12 / LiCoO2,4.7
Li4Ti5O12 / LiCoO2,2.7
Li4Ti5O12 / LiCoO2,1.9
Li4Ti5O12 / LiCoO2LCO,2.3
Li4Ti5O12 / LiCoO2LCO,2.4
Li4Ti5O12 / LiCoPO4,3.2
Li4Ti5O12 / LiCoPO4LCP,3.5
Li4Ti5O12 / LiFe0.2Mn0.8PO4LFMP,2.6
Li4Ti5O12 / LiFePO4,1.5
Li4Ti5O12 / LiFePO4,1.9
Li4Ti5O12 / LiFePO4,1.7
Li4Ti5O12 / LiFePO4,3
Li4Ti5O12 / LiFePO4,1.85
Li4Ti5O12 / LiFePO4,2
Li4Ti5O12 / LiFePO4,3.5
Li4Ti5O12 / LiFePO4,2.1
Li4Ti5O12 / LiFePO4,0.00038
Li4Ti5O12 / LiFePO4LFP,2.45
Li4Ti5O12 / LiFePO4LFP,2.5
Li4Ti5O12 / LiFePO4LFP,2
Li4Ti5O12 / LiMn2O4,1
Li4Ti5O12 / LiMn2O4,2.5
Li4Ti5O12 / LiMn2O4,2.7
Li4Ti5O12 / LiMn2O4,3
Li4Ti5O12 / LiMn2O4(LMO),2.5
Li4Ti5O12 / LiMn2O4LMO,3.2
Li4Ti5O12 / LiNi0.5Mn1.5O4,3.2
Li4Ti5O12 / LiNi0.5Mn1.5O4LNMO,3.5
Li4Ti5O12 / LiNi0.8Co0.15Al0.05O2LNCAO,1.55
Li4Ti5O12 / LiNi0.8Co0.15Al0.05O2LNCAO,2.4
Li4Ti5O12 / LiPF6-PC / Li2Co0.4Fe0.4Mn3.2O8,3.5
Li4Ti5O12 / PPy,0.42
Li4Ti5O12 / PPy,0.465
Li4Ti5O12 / Sn ,1
Li4Ti5O12 / Sn ,0.1
Li4Ti5O12 / SnO2,2.5
Li4Ti5O12 / SnO2,0.1
Li4Ti5O12 / tin,3
Li4Ti5O12 / tin oxide ,1
Li4Ti5O12 / tin oxide ,1.5
Li4Ti5O12 / TiO2,3
Li4Ti5O12 / TiO2,2
Li4Ti5O12 / TiO2,1.67
Li4Ti5O12 / TiO2,1.37
Li4Ti5O12 / TiO2 ,1.595
Li4Ti5O12 / TiO2 ,1.693
Li4Ti5O12 / TiO2 ,2.039
Li4Ti5O12 / TiO2 ,1.519
Li4Ti5O12 / TiO2 / C ,3
Li4Ti5O12 @ C,2
Li4Ti5O12 @ C,1.55
Li4Ti5O12 @ C,3
Li4Ti5O12 @ C,0.6
Li4Ti5O12 @ C,0.5
Li4Ti5O12 @ C,1.45
Li4Ti5O12 @ C,2.5
Li4Ti5O12 @ C half-cell,3.58
Li4Ti5O12 @ C half-cell,3.95
Li4Ti5O12 @ C half-cell,1.55
Li4Ti5O12 @ C half-cell,3.48
Li4Ti5O12 @ graphene,0.6
Li4Ti5O12 @ graphene,3
Li4Ti5O12 @ graphene,0.7
Li4Ti5O12 @ graphene ,0.7
Li4Ti5O12 @ graphene ,1.18
Li4Ti5O12 @ graphene ,3
Li4Ti5O12 @ graphene ,1.95
Li4Ti5O12 @ graphene ,2.08
Li4Ti5O12 @ graphene ,1.55
Li4Ti5O12 @ graphene ,1.28
Li4Ti5O12 @ N-C,0.39
Li4Ti5O12 @ N-C,1.76
Li4Ti5O12 @ N-C,1.37
Li4Ti5O12 oxide,1.5
Li4Ti5O12(PO4)x,2.5
Li4Ti5O12(PO4)x,1
Li4Ti5O12-A,2.6
Li4Ti5O12-A,0.8
Li4Ti5O12−x / C-L,1.21E-05
Li4Ti5O12−x / C-L,1.34E-05
Li4Ti5O12−x / C-L,0.0015539
Li4Ti5O12−x / C-L,0.0015673
Li4Ti5O12−x / C-L,0.0015668
Li4Ti5O12−x / C-L,0.001569
Li4Ti5O12−x / C-L,1.62E-05
Li4Ti5O12−x / C-L,0.0015528
Li4Ti5O12−x / C-L,0.0015547
Li4Ti5O12−x / C-M,0.0015668
Li4Ti5O12−x / C-M,0.0015539
Li4Ti5O12−x / C-M,0.0015547
Li4Ti5O12−x / C-M,0.0015528
Li4Ti5O12−x / C-M,0.0015673
Li4Ti5O12−x / C-M,1.21E-05
Li4Ti5O12−x / C-M,0.001569
Li4Ti5O12−x / C-M,1.62E-05
Li4Ti5O12−x / C-M,1.34E-05
Li4Ti5O12−x / C-S,1.62E-05
Li4Ti5O12−x / C-S,1.21E-05
Li4Ti5O12−x / C-S,0.0015539
Li4Ti5O12−x / C-S,0.0015528
Li4Ti5O12−x / C-S,0.001569
Li4Ti5O12−x / C-S,1.34E-05
Li4Ti5O12−x / C-S,0.0015668
Li4Ti5O12−x / C-S,0.0015673
Li4Ti5O12−x / C-S,0.0015547
Li4Ti5O12−x(PO4)x,1
Li4Ti5O12−x(PO4)x,2.5
Li4Ti5O12−xBrx,1
Li4Ti5O12−xBrx,3
Li4Ti5O12−xFx,1.55
Li4Ti5O12−xFx,1
Li4Ti5O12−xFx,2.5
Li4Ti5O12−xFx,3
Li4Ti5O12–LiMn2O4,2.00E-05
Li4Ti5O12–SnO2,3
Li4Ti5O12–SnO2,0.05
Li4Ti5O12–SnO2 ,3
Li4Ti5O12–SnO2 ,0.05
Li4Ti5O12–TiO2 ,2
Li4Ti5O12-C,1
Li4Ti5O12-C,2.5
Li4Ti5O12-Li2Ti3O7,1
Li4Ti5O12-Li2Ti3O7,3
Li4Ti5O12-Li7Ti5O12,1.55
Li4Ti5O12-TiO2,1.55
Li4Ti5O12-TiO2,1.59
Li4Ti5O12-TiO2,1.6
Li4Ti5O12-TiO2,2.5
Li4Ti5O12-xBrx,2.5
Li4Ti5O12-xBrx,1
Li4Ti5O2,2.4
Li4Ti5O2,1.05
Li4Ti5O2,1.6
Li4Ti5O2,1.72
Li4Ti5Ol2,1.55
Li4Ti5Ol2 ,1.6
Li4Ti5Ol2 ,1.5
Li4Ti5-xCexO12,1.55
Li4Ti6O14,1.58
Li4Ti6O14,1.52
Li4Ti6O14,1.5
Li4Ti6O14,1.43
Li4Ti6O14,1
Li4Ti6O14,1.72
Li4TisOl2,3.8
Li4TisOl2,1.6
Li4V2Mn(PO4)4,4.5
Li4V2O5,1.8
Li4V2O5,2.75
Li4V3O8,2.2
Li4V3O8,2.28
Li4V3O8,1
Li4V3O8,2.58
Li4V3O8,2.24
Li4V3O8,2.5
Li4V3O8,2.8
Li4V3O8,2.3
Li4V3O8,2.27
Li4V3O8,2.4
Li4V3O8,2.6
Li4V3O8,1.5
Li4VO(PO4)2,1.67
Li4VO(PO4)2,1
Li4VO(PO4)2,3.8
Li4VO(PO4)2,1.1
Li4VO(PO4)2,3
Li4VO(PO4)2,3.7
Li4VO(PO4)2,1.5
Li4VO(PO4)2,2
Li4VO(PO4)2,1.3
Li4VO(PO4)2,1.8
Li4VO(PO4)2,4
Li4VO(PO4)2,4.4
Li4VO(PO4)2,3.9
Li4VO(PO4)2,2.1
Li4VxTi5−xO12,0.000146
Li4-xSbxSn1-xS4,2.00E-05
Li5 / 3−xTi7 / 3CrO7,4.2
Li5.5NaV6O15,1.5
Li5.5NaV6O15,2.5
Li5.5PS5Cl,2.19
Li5.6MnN4,1.6
Li5−xFeO4,4
Li5Ag2Hf3S8,2.1
Li5Cr7Ti6O25,0.7
Li5Cr7Ti6O25,0.00015
Li5Cr7Ti6O25,2.5
Li5Cr7Ti6O25,0.0002
Li5Cr7Ti6O25,1
Li5Cr7Ti6O25,3
Li5Cr7Ti6O25,1.43
Li5Cr7Ti6O25,1.58
Li5Cr7Ti6O25,0.00022
Li5Cr7Ti6O25 @ PPy,0.000248
Li5Cr7Ti6O25 @ PPy,0.000227
Li5Cr9Ti4O24,0.15
Li5Cr9Ti4O24,5.00E-05
Li5Cr9Ti4O24,3
Li5Cr9Ti4O24,0.04
Li5Cr9Ti4O24 / Li,3
Li5Cr9Ti4O24-SG,0.2
Li5Cr9Ti4O24-SG,0.15
Li5Cr9Ti4O24-SG,1.484
Li5Cr9Ti4O24-SG,0.072
Li5Cr9Ti4O24-SG,1
Li5Cr9Ti4O24-SG,1.5
Li5Cr9Ti4O24-SG,0.057
Li5Cr9Ti4O24-SG,1.541
Li5Cr9Ti4O24-SG,1.59
Li5Cr9Ti4O24-SS,1.545
Li5Cr9Ti4O24-SS,1.473
Li5Cr9Ti4O24-SS,0.072
Li5Cr9Ti4O24-SS,1.5
Li5Cr9Ti4O24-SS,1.43
Li5Cr9Ti4O24-SS,1
Li5Cr9Ti4O24-SS,1.63
Li5Cr9Ti4O24-SS,3
Li5FeO4,1.5
Li5FeO4,3.5
Li5FeO4,3.25
Li5FeO4,3.85
Li5FeO4,2.75
Li5FeO4,0.2
Li5FeO4 ,2.6
Li5FeO4 ,3.2
Li5FeO4 ,2.9
Li5FeO4 ,3.7
Li5FeO4 ,4.6
Li5La3Sb2O12,5.00E-05
Li5La3Ta2O12,5
Li5Sn2,0.09
Li5Sn2,0.2
Li5Ti4O12,1.7
Li5Ti4O12,2.2
Li5Ti5O12 / Li4Ti5O12,0.5
Li5Ti5O12 / Li4Ti5O12,1
Li5V(PO4)2F2,4.15
Li5V3O8,2.3
Li5VO(PO4)2,3.86
Li5VO(PO4)2,3.5
Li5VO(PO4)2,3.96
Li5VS4,1.5
Li6.2(1)MnN4,1
Li6.4La3Zr1.4Nb0.6O12,5.2
Li6.4MnN4,1.18
Li6.4MnN4,1.6
Li6.5Mn5O12,2.5
Li6.75La3Zr1.75Ta0.25O12,5.5
Li6.75La3Zr1.75Ta0.25O12,5.00E-05
Li6B6C6,2.36
Li6B6C6,1.7
Li6BaLa2Ta2O12,2.8
Li6C40,0.41
Li6C40,0.31
Li6C40,0.46
Li6C40,0.35
Li6C40,0.57
Li6C40,0.4
Li6Co5(P2O7)4 ,4.9
Li6Co5(P2O7)4 ,4.55
Li6Co5(P2O7)4 ,3
Li6CoO4,3
Li6CoO4,1.5
Li6CoO4,0.18
Li6CoO4,2
Li6CoO4,0.31
Li6CoO4,3.9
Li6CuB4O10,4.5
Li6CuB4O10,1
Li6La2BaTa2O12,6
Li6Mn(VO3)4·2H2O,2.15
Li6OSI2,2.15
Li6PO4SCl,2.62
Li6PO4SCl,3.49
Li6PO5Cl,3.49
Li6PO5Cl argyrodite,3.49
Li6PO5Cl argyrodite,2.72
Li6PO5Cl argyrodite,3.65
Li6PS5Br,2.50E-05
Li6PS5Cl,2.19
Li6PS5Cl,0.49
Li6PS5Cl,1.70E-05
Li6PS5Cl,0.5
Li6PS5Cl,0.6
Li6PS5Cl,1.7
Li6PS5Cl,2
Li6PS5Cl,2.02
Li6PS5Cl,2.44
Li6PS5Cl,3
Li6PS5Cl,5
Li6PS5I0.83(BH4)0.17,5
Li6PTeS4Cl,1.97
Li6PTeS4Cl,2.29
Li6Si2O7,0.27
Li6Si2O7,0.55
Li6Si2O7,0.14
Li6Si2O7,3
Li6Si2O7,1.5
Li6V10O28,4.2
Li6V6O13,2.1
Li6VP4,0.77
Li6VP4,0.65
Li6W2O9 / C,1.5
Li7.58SnO1.41,2
Li7-2xLa3Zr2-xWxO12,4.5
Li7−ζSn3,0.2
Li7−ζSn3,0.58
Li7−yMnN4,1.6
Li7C24,0.000142
Li7C24,9.00E-05
Li7Ge2,0.3
Li7Ge2,0.2
Li7Ge2 / LiGe,0.00036
Li7Ge3,0.0003
Li7Ge3,0.38
Li7Ge3,0.00015
Li7Ge3,0.62
Li7Ge3,0.35
Li7Ge3,0.8
Li7Ge3,0.52
Li7Ge3,0.41
Li7La3Zr2O12,4.31
Li7La3Zr2O12,4.3
Li7La3Zr2O12,2.00E-05
Li7La3Zr2O12,5.1
Li7La3Zr2O12,3.50E-05
Li7La3Zr2O12,4.9
Li7La3Zr2O12,5.09
Li7La3Zr2O12,1
Li7La3Zr2O12,5.00E-05
Li7La3Zr2O12,3.8
Li7La3Zr2O12,6
Li7La3Zr2O12,4
Li7La3Zr2O12,3.00E-05
Li7La3Zr2O12,2.9
Li7La3Zr2O12,2.5
Li7La3Zr2O12,3.71
Li7La3Zr2O12,2.14
Li7La3Zr2O12,0.0001
Li7La3Zr2O12,5.5
Li7La3Zr2O12,5.2
Li7La3Zr2O12,2
Li7La3Zr2O12,8.00E-05
Li7La3Zr2O12,1.20E-05
Li7La3ZrNb0.5Y0.5O12,2.8
Li7La3ZrNb0.5Y0.5O12,4.2
Li7Mg3,0.35
Li7MnN4,1.1
Li7MnN4,1
Li7Ni0.2P3.1S11,5
Li7P2.9Mn0.1S10.7I0.3,5
Li7P2S8Br0.5I0.5,1.4
Li7P2S8I,2.00E-05
Li7P3S11,2
Li7P3S11,1.5
Li7P3S11,1
Li7P3S11,2.50E-05
Li7P3S11,3
Li7P3S11,1.80E-05
Li7P3S11,0.5
Li7Si2,0.3
Li7Si3,0.00015
Li7Si3,0.06
Li7Si3 / Li13Si4,0.42
Li7Sn2,0.42
Li7Sn2,0.62
Li7Sn2,0.51
Li7Sn2,0.28
Li7Sn2,0.6
Li7Sn2,0.73
Li7Sn2,0.5
Li7Sn2,0.72
Li7Sn2,0.32
Li7Sn2,0.35
Li7Sn2,0.4
Li7Sn2,0.47
Li7Sn2,0.26
Li7Sn2(,0.28
Li7Sn3,0.55
Li7Sn3,0.4
Li7Sn3,0.291
Li7Sn3,0.73
Li7Sn3,0.51
Li7Sn3,0.466
Li7Sn3,0.2
Li7Sn3,0.8
Li7Sn3,0.37
Li7Sn3,0.039
Li7Sn3,0.38
Li7Sn3,0.1
Li7Sn3,0.81
Li7Sn3,0.35
Li7Sn3,0.47
Li7Sn3,0.57
Li7Sn3,0.36
Li7Sn3,0.453
Li7Sn3,0.52
Li7Sn3–Li22Sn5,0.00045
Li7Ti5O12,0.3
Li7Ti5O12,0.07
Li7Ti5O12,1.5
Li7Ti5O12,1.48
Li7Ti5O12,1.2
Li7Ti5O12,2
Li7Ti5O12,0.05
Li7Ti5O12,0.5
Li7Ti5O12,1
Li7V2(PO4)3,3
Li85Fe5-NCM,4.6
Li85Fe5-NCM,2.6
Li8C40,0.35
Li8C40,0.4
Li8C40,0.31
Li8C40,0.41
Li8C40,0.57
Li8C40,0.46
Li8Ge3,0.00055
Li8Ge3,0.000487
Li8Ge3,0.000465
Li8NaV3(P2O7)3(PO4)2,1.52
Li8NaV3(P2O7)3(PO4)2,1.58
Li8NaV3(P2O7)3(PO4)2,3.7
Li8NaV3(P2O7)3(PO4)2,0.05
Li8NaV3(P2O7)3(PO4)2 ,1.56
Li8NaV3(P2O7)3(PO4)2 ,1.64
Li8NaV3(P2O7)3(PO4)2 ,0.05
Li8NaV3(P2O7)3(PO4)2 ,1.55
Li8NaV3(P2O7)3(PO4)2 ,4.6
Li8NaV3(P2O7)3(PO4)2 ,1.7
Li8NaV3(P2O7)3(PO4)2 ,0.5
Li8NaV3(P2O7)3(PO4)2 ,1.44
Li8NaV3(P2O7)3(PO4)2 ,3
Li8NaV3(P2O7)3(PO4)2 ,1.62
Li8NaV3(P2O7)3(PO4)2 ,1.39
Li8NaV3(P2O7)3(PO4)2 ,4.5
Li8NaV3(P2O7)3(PO4)2 ,1.65
Li8ZrO6,4
Li9.6P3S12,5
Li9Cu(MnO4)2,1.8
Li9Cu(MnO4)2,3.3
Li9Ge4,0.55
Li9Ge4,0.37
Li9Ge4,0.15
Li9SiAlO8,6.5
Li9V2.5Al0.5(P2O7)3(PO4)2,4.6
Li9V2.96Co0.04(P2O7)3(PO4)2 / C,0.19
Li9V2.96Co0.04(P2O7)3(PO4)2 / C,0.2
Li9V2.96Co0.04(P2O7)3(PO4)2 / C,0.18
Li9V2.96Co0.04(P2O7)3(PO4)2 / C ,4.6
Li9V2.96Co0.04(P2O7)3(PO4)2 / C ,3
Li9V3 − xCox(P2O7)3(PO4)2 / C,3.4
Li9V3 − xCox(P2O7)3(PO4)2 / C,4.6
Li9V3(P2O7)3(PO4)2,0.05
Li9V3(P2O7)3(PO4)2,1.56
Li9V3(P2O7)3(PO4)2,1.62
Li9V3(P2O7)3(PO4)2,1.64
Li9V3(P2O7)3(PO4)2,1.39
Li9V3(P2O7)3(PO4)2,0.5
Li9V3(P2O7)3(PO4)2,4.6
Li9V3(P2O7)3(PO4)2,1.44
Li9V3(P2O7)3(PO4)2,4.5
Li9V3(P2O7)3(PO4)2,3
Li9V3(P2O7)3(PO4)2,1.7
Li9V3(P2O7)3(PO4)2,1.65
Li9V3(P2O7)3(PO4)2,1.55
Li9V3(P2O7)3(PO4)2 / carbon,4.6
Li9V3(P2O7)3(PO4)2 / carbon,3
Li9V3(P2O7)3(PO4)2 / PANI,4.6
Li9V3−xAlx(P2O7)3(PO4)2 / carbon,4.6
Li9V3−xCrx (P2O7)3(PO4)2,4.56
Li9V3−xCrx(P2O7)3(PO4)2,4.56
Li9V3−xMnx(P2O7)3(PO4)2,4.6
Li9V3−xMnx(P2O7)3(PO4)2 / C,4.6
Li9V3P8O29,1.6
Li9V3P8O29,4.5
Li9V3P8O29,3.8
Li9VAs4,1.2
Li9VAs4,1
Li9VAs4,0.8
Li∣HT-LiMnO2,2
Li∥HP-V2O5,1
Li∥HP-V2O5,3.8
Li∥HP-V2O5,2.00E-05
Li–CO / CO2,0.00036
Li–CO / CO2,2
Li–O2 / CO2,3.6
Li–O2 / CO2,3.5
Li–O2 / CO2,2.7
Li–Si / LiMn2O4,2.7
Li–silicates,0.4
Li–titanate,3.00E-05
Li–titanate,1.75
Li–titanate,4.00E-05
LiAg,0.15
LiAg2Sn,1.2
LiAl,0.28
LiAl,3
LiAl,1.85
LiAl,1.53
LiAl,0.000292
LiAl,4.5
LiAl,0.6
LiAl,0.5
LiAl,1
LiAl,0.15
LiAl,0.00014
LiAl,3.1
LiAl,1.5
LiAl / Li,3.45
LiAl / LiCoO2,3.45
LiAl / LiMnO2,2
LiAl / LiMnO2,3.3
LiAl(Al),0.000173
LiAl(Al) ,2.98
LiAl(Al) ,2.9
LiAl(Al) / LiFePO4,4.1
LiAl0.01Co0.99O2,4.3
LiAl0.01Co0.99O2,2.7
LiAl0.01Fe0.985PO4 / C,3.53
LiAl0.01Fe0.985PO4 / C,3.33
LiAl0.01Fe0.985PO4 / C,0.2
LiAl0.02Mn1.98O4,0.031
LiAl0.04Mn1.96O4,4.35
LiAl0.05Mn1.95O4,3.85
LiAl0.05Mn1.95O4,9.30E-05
LiAl0.05Mn1.95O4,3.9
LiAl0.05Mn1.95O4,7.20E-05
LiAl0.05Mn1.95O4,4.27
LiAl0.05Mn1.95O4,4.1
LiAl0.05Mn1.95O4,4.06
LiAl0.05Mn1.95O4,3.96
LiAl0.05Mn1.95O4,3.976
LiAl0.05Mn1.95O4,3.99
LiAl0.05Mn1.95O4,4.4
LiAl0.05Mn1.95O4,4.047
LiAl0.05Mn1.95O4,4.165
LiAl0.05Mn1.95O4,6.50E-05
LiAl0.05Mn1.95O4,8.00E-05
LiAl0.05Mn1.95O4,4.80E-05
LiAl0.05Mn1.95O4,4.17
LiAl0.05Mn1.95O4,4.09
LiAl0.05Mn1.95O4,4.12
LiAl0.05Ni0.05Mn1.9O4,0.12
LiAl0.05Ni0.05Mn1.9O4,0.25
LiAl0.05Ni0.05Mn1.9O4,0.15
LiAl0.05Ni0.49Mn1.46O4,4
LiAl0.05Ni0.49Mn1.46O4,5
LiAl0.05Si0.05Mg0.05Mn1.85O4,4.35
LiAl0.05Si0.05Mg0.05Mn1.85O4,3.2
LiAl0.15Co0.85O2,4.4
LiAl0.15Co0.85O2,2.5
LiAl0.15Co0.85O2,4.5
LiAl0.15Mn1.85O3.97S0.03,3
LiAl0.15Mn1.85O3.97S0.03,4
LiAl0.15Mn1.85O3.97S0.03 ,4
LiAl0.15Mn1.85O3.97S0.03 ,3
LiAl0.15Mn1.85O4,4.6
LiAl0.15Mn1.85O4,3.5
LiAl0.18Se0.02Mn1.8O4,4
LiAl0.18Se0.02Mn1.8O4,3
LiAl0.1C0.1Mn1.8O4,4.8
LiAl0.1C0.1Mn1.8O4,3
LiAl0.1Cr0.4Mn1.5O4,5.04
LiAl0.1Cr0.4Mn1.5O4,4.85
LiAl0.1Cu0.1Mn1.8O4,4.8
LiAl0.1Cu0.1Mn1.8O4,3
LiAl0.1Cu0.1Mn1.8O4 ,4.8
LiAl0.1Cu0.1Mn1.8O4 ,3
LiAl0.1Mn1.9O4,0.000169
LiAl0.1Mn1.9O4,4.8
LiAl0.1Mn1.9O4,3.6
LiAl0.1Mn1.9O4,4.2
LiAl0.1Mn1.9O4,4.15
LiAl0.1Mn1.9O4,4.1
LiAl0.1Mn1.9O4,3
LiAl0.1Mn1.9O4,4.14
LiAl0.1Mn1.9O4,4.3
LiAl0.1Mn1.9O4,0.000108
LiAl0.1Mn1.9O4,3.9
LiAl0.1Mn1.9O4,2.2
LiAl0.1Mn1.9O4,3.64
LiAl0.1Mn1.9O4,3.8
LiAl0.1Mn1.9O4,3.7
LiAl0.1Mn1.9O4,3.85
LiAl0.1Mn1.9O4,0.000145
LiAl0.1Mn1.9O4,4
LiAl0.23Mn1.77O4,1
LiAl0.23Mn1.77O4 ,1
LiAl0.24Mn1.76O3.98S0.02,4.3
LiAl0.24Mn1.76O4,4
LiAl0.24Mn1.76O4,3
LiAl0.24Mn1.76O4 ,3
LiAl0.25Co0.75O2,2
LiAl0.25Co0.75O2,4.5
LiAl0.25Co0.75O2,4.4
LiAl0.25Co0.75O2,4.3
LiAl0.25Co0.75O2 ,4.3
LiAl0.25Co0.75O2 ,2.5
LiAl0.2Mn1.8O4,3
LiAl0.2Mn1.8O4,4
LiAl0.2Mn1.8O4 ,4
LiAl0.2Mn1.8O4 ,3
LiAl1 / 3−xCoxNi1 / 3Mn1 / 3O2,4.5
LiAl5O8,0.0001
LiAl5O8,4.08
LiAl5O8,0.8
LiAl5O8,4
LiAl–PEG / PEO,4.8
LiAl–PEG200,4
LiAl–PEG200 / PEO,4.8
LiAl–PEG400,3.7
LiAl–PEG600,3.8
LiAlCl4,0.5
LiAlCl4,1.28
LiAlF4,1
LiAlH4,3.7
LiAlH4,3.3
LiAlδNi1−δO2 ,4.3
LiAlδNi1−δO2 ,3
LiAlMnCV,2
LiAlMnO4,3
LiAlO2,3.863
LiAlO2,0.02
LiAlO2,4.7
LiAlO2,0.05
LiAlO2,3.869
LiAlO2,3.88
LiAlO2,3.897
LiAlO2,3.874
LiAlO2-LiMnPO4 / C,0.15
LiAlO2-LiMnPO4 / C ,0.54
LiAlO2-LiMnPO4 / C ,2.5
LiAlO2-LiMnPO4 / C ,1.05
LiAlO2-LiMnPO4 / C ,4.5
LiAlO2-LiMnPO4 / C / Li,2.5
